Noisy Image:FILE,Clean Image:FILE
train_crops/input_crops/0001_SRGB_010_s001.PNG,train_crops/gt_crops/0001_SRGB_010_s001.PNG
train_crops/input_crops/0001_SRGB_010_s002.PNG,train_crops/gt_crops/0001_SRGB_010_s002.PNG
train_crops/input_crops/0001_SRGB_010_s003.PNG,train_crops/gt_crops/0001_SRGB_010_s003.PNG
train_crops/input_crops/0001_SRGB_010_s004.PNG,train_crops/gt_crops/0001_SRGB_010_s004.PNG
train_crops/input_crops/0001_SRGB_010_s005.PNG,train_crops/gt_crops/0001_SRGB_010_s005.PNG
train_crops/input_crops/0001_SRGB_010_s006.PNG,train_crops/gt_crops/0001_SRGB_010_s006.PNG
train_crops/input_crops/0001_SRGB_010_s007.PNG,train_crops/gt_crops/0001_SRGB_010_s007.PNG
train_crops/input_crops/0001_SRGB_010_s008.PNG,train_crops/gt_crops/0001_SRGB_010_s008.PNG
train_crops/input_crops/0001_SRGB_010_s009.PNG,train_crops/gt_crops/0001_SRGB_010_s009.PNG
train_crops/input_crops/0001_SRGB_010_s010.PNG,train_crops/gt_crops/0001_SRGB_010_s010.PNG
train_crops/input_crops/0001_SRGB_010_s011.PNG,train_crops/gt_crops/0001_SRGB_010_s011.PNG
train_crops/input_crops/0001_SRGB_010_s012.PNG,train_crops/gt_crops/0001_SRGB_010_s012.PNG
train_crops/input_crops/0001_SRGB_010_s013.PNG,train_crops/gt_crops/0001_SRGB_010_s013.PNG
train_crops/input_crops/0001_SRGB_010_s014.PNG,train_crops/gt_crops/0001_SRGB_010_s014.PNG
train_crops/input_crops/0001_SRGB_010_s015.PNG,train_crops/gt_crops/0001_SRGB_010_s015.PNG
train_crops/input_crops/0001_SRGB_010_s016.PNG,train_crops/gt_crops/0001_SRGB_010_s016.PNG
train_crops/input_crops/0001_SRGB_010_s017.PNG,train_crops/gt_crops/0001_SRGB_010_s017.PNG
train_crops/input_crops/0001_SRGB_010_s018.PNG,train_crops/gt_crops/0001_SRGB_010_s018.PNG
train_crops/input_crops/0001_SRGB_010_s019.PNG,train_crops/gt_crops/0001_SRGB_010_s019.PNG
train_crops/input_crops/0001_SRGB_010_s020.PNG,train_crops/gt_crops/0001_SRGB_010_s020.PNG
train_crops/input_crops/0001_SRGB_010_s021.PNG,train_crops/gt_crops/0001_SRGB_010_s021.PNG
train_crops/input_crops/0001_SRGB_010_s022.PNG,train_crops/gt_crops/0001_SRGB_010_s022.PNG
train_crops/input_crops/0001_SRGB_010_s023.PNG,train_crops/gt_crops/0001_SRGB_010_s023.PNG
train_crops/input_crops/0001_SRGB_010_s024.PNG,train_crops/gt_crops/0001_SRGB_010_s024.PNG
train_crops/input_crops/0001_SRGB_010_s025.PNG,train_crops/gt_crops/0001_SRGB_010_s025.PNG
train_crops/input_crops/0001_SRGB_010_s026.PNG,train_crops/gt_crops/0001_SRGB_010_s026.PNG
train_crops/input_crops/0001_SRGB_010_s027.PNG,train_crops/gt_crops/0001_SRGB_010_s027.PNG
train_crops/input_crops/0001_SRGB_010_s028.PNG,train_crops/gt_crops/0001_SRGB_010_s028.PNG
train_crops/input_crops/0001_SRGB_010_s029.PNG,train_crops/gt_crops/0001_SRGB_010_s029.PNG
train_crops/input_crops/0001_SRGB_010_s030.PNG,train_crops/gt_crops/0001_SRGB_010_s030.PNG
train_crops/input_crops/0001_SRGB_010_s031.PNG,train_crops/gt_crops/0001_SRGB_010_s031.PNG
train_crops/input_crops/0001_SRGB_010_s032.PNG,train_crops/gt_crops/0001_SRGB_010_s032.PNG
train_crops/input_crops/0001_SRGB_010_s033.PNG,train_crops/gt_crops/0001_SRGB_010_s033.PNG
train_crops/input_crops/0001_SRGB_010_s034.PNG,train_crops/gt_crops/0001_SRGB_010_s034.PNG
train_crops/input_crops/0001_SRGB_010_s035.PNG,train_crops/gt_crops/0001_SRGB_010_s035.PNG
train_crops/input_crops/0001_SRGB_010_s036.PNG,train_crops/gt_crops/0001_SRGB_010_s036.PNG
train_crops/input_crops/0001_SRGB_010_s037.PNG,train_crops/gt_crops/0001_SRGB_010_s037.PNG
